,A2,A3,A4,A5
0,2.94,22.23,22.13,2.28
1,2.94,22.23,22.13,2.28
2,2.94,22.23,22.13,2.28
3,2.94,22.23,22.13,2.28
4,2.94,22.23,22.13,2.28
5,2.94,22.23,22.13,2.28
6,2.94,22.23,22.13,2.28
7,2.94,22.23,22.13,2.28
8,2.94,22.23,22.13,2.28
9,2.94,22.25,22.16,2.28
10,2.94,22.25,22.16,2.28
11,2.94,22.25,22.16,2.28
12,2.94,22.25,22.16,2.28
13,2.94,22.25,22.16,2.28
14,2.94,22.25,22.16,2.28
15,2.94,22.25,22.16,2.28
16,2.91,22.24,22.16,2.27
17,2.91,22.24,22.16,2.27
18,2.91,22.24,22.16,2.27
19,2.91,22.24,22.16,2.27
20,2.91,22.24,22.16,2.27
21,2.91,22.24,22.16,2.27
22,2.91,22.24,22.16,2.27
23,2.91,22.21,22.14,2.29
24,2.91,22.21,22.14,2.29
25,2.91,22.21,22.14,2.29
26,2.91,22.21,22.14,2.29
27,2.91,22.21,22.14,2.29
28,2.91,22.21,22.14,2.29
29,2.93,22.22,22.15,2.27
30,2.93,22.22,22.15,2.27
31,2.93,22.22,22.15,2.27
32,2.93,22.22,22.15,2.27
33,2.93,22.22,22.15,2.27
34,2.93,22.22,22.15,2.27
35,2.93,22.22,22.15,2.27
36,2.93,22.22,22.15,2.27
37,2.93,22.22,22.15,2.27
38,2.92,22.22,22.12,2.27
39,2.92,22.22,22.12,2.27
40,2.92,22.22,22.12,2.27
41,2.92,22.22,22.12,2.27
42,2.92,22.22,22.12,2.27
43,2.92,22.22,22.12,2.27
44,2.92,22.22,22.12,2.27
45,2.94,22.21,22.14,2.28
46,2.94,22.21,22.14,2.28
47,2.94,22.21,22.14,2.28
48,2.94,22.21,22.14,2.28
49,2.94,22.21,22.14,2.28
50,2.94,22.21,22.14,2.28
51,2.93,22.22,22.15,2.28
52,2.93,22.22,22.15,2.28
53,2.93,22.22,22.15,2.28
54,2.93,22.22,22.15,2.28
55,2.93,22.22,22.15,2.28
56,2.93,22.22,22.15,2.28
57,2.91,22.25,22.13,2.27
58,2.91,22.25,22.13,2.27
59,2.91,22.25,22.13,2.27
60,2.91,22.25,22.13,2.27
61,2.91,22.25,22.13,2.27
62,2.91,22.25,22.13,2.27
63,2.91,22.25,22.13,2.27
64,2.92,22.21,22.14,2.28
65,2.92,22.21,22.14,2.28
66,2.92,22.21,22.14,2.28
67,2.92,22.21,22.14,2.28
68,2.92,22.21,22.14,2.28
69,2.92,22.21,22.14,2.28
70,2.93,22.21,22.14,2.28
71,2.93,22.21,22.14,2.28
72,2.93,22.21,22.14,2.28
73,2.93,22.21,22.14,2.28
74,2.93,22.21,22.14,2.28
75,2.93,22.21,22.14,2.28
76,2.93,22.21,22.14,2.28
77,2.9,22.23,22.13,2.26
78,2.9,22.23,22.13,2.26
79,2.9,22.23,22.13,2.26
80,2.9,22.23,22.13,2.26
81,2.9,22.23,22.13,2.26
82,2.9,22.23,22.13,2.26
83,2.93,22.26,22.15,2.28
84,2.93,22.26,22.15,2.28
85,2.93,22.26,22.15,2.28
86,2.93,22.26,22.15,2.28
87,2.93,22.26,22.15,2.28
88,2.93,22.26,22.15,2.28
89,2.93,22.26,22.15,2.28
90,2.93,22.23,22.14,2.27
91,2.93,22.23,22.14,2.27
92,2.93,22.23,22.14,2.27
93,2.93,22.23,22.14,2.27
94,2.93,22.23,22.14,2.27
95,2.93,22.23,22.14,2.27
