,A2,A3,A4,A5
0,14.79,8.23,10.92,15.5
1,14.79,8.23,10.92,15.5
2,14.79,8.23,10.92,15.5
3,14.79,8.23,10.92,15.5
4,14.7,8.22,10.93,15.5
5,14.7,8.22,10.93,15.5
6,14.7,8.22,10.93,15.5
7,14.7,8.22,10.93,15.5
8,14.7,8.22,10.93,15.5
9,14.7,8.22,10.93,15.5
10,14.74,8.22,10.92,15.49
11,14.74,8.22,10.92,15.49
12,14.74,8.22,10.92,15.49
13,14.74,8.22,10.92,15.49
14,14.74,8.22,10.92,15.49
15,14.74,8.22,10.92,15.49
16,14.72,8.21,10.93,15.51
17,14.72,8.21,10.93,15.51
18,14.72,8.21,10.93,15.51
19,14.72,8.21,10.93,15.51
20,14.72,8.2,10.95,15.52
21,14.72,8.2,10.95,15.52
22,14.72,8.2,10.95,15.52
23,14.72,8.2,10.95,15.52
24,14.75,8.2,10.93,15.51
25,14.75,8.2,10.93,15.51
26,14.75,8.2,10.93,15.51
27,14.75,8.2,10.93,15.51
28,14.75,8.21,10.92,15.51
29,14.75,8.21,10.92,15.51
30,14.75,8.21,10.92,15.51
31,14.75,8.21,10.92,15.51
32,14.75,8.21,10.92,15.51
33,14.75,8.21,10.92,15.51
34,14.75,8.21,10.92,15.51
35,14.73,8.19,10.93,15.48
36,14.73,8.19,10.93,15.48
37,14.73,8.19,10.93,15.48
38,14.73,8.19,10.93,15.48
39,14.66,8.2,10.94,15.5
40,14.66,8.2,10.94,15.5
41,14.66,8.2,10.94,15.5
42,14.66,8.2,10.94,15.5
43,14.76,8.21,10.93,15.52
44,14.76,8.21,10.93,15.52
45,14.76,8.21,10.93,15.52
46,14.76,8.21,10.93,15.52
47,14.76,8.21,10.93,15.52
48,14.72,8.21,10.92,15.5
49,14.72,8.21,10.92,15.5
50,14.72,8.21,10.92,15.5
51,14.72,8.21,10.92,15.5
52,14.72,8.21,10.92,15.5
53,14.72,8.21,10.92,15.5
54,14.76,8.2,10.93,15.49
55,14.76,8.2,10.93,15.49
56,14.76,8.2,10.93,15.49
57,14.76,8.2,10.93,15.49
58,14.76,8.2,10.93,15.49
59,14.76,8.2,10.93,15.49
60,14.79,8.23,10.92,15.48
61,14.79,8.23,10.92,15.48
62,14.79,8.23,10.92,15.48
63,14.79,8.23,10.92,15.48
64,14.79,8.23,10.92,15.48
65,14.79,8.23,10.92,15.48
66,14.78,8.2,10.91,15.5
67,14.78,8.2,10.91,15.5
68,14.78,8.2,10.91,15.5
69,14.78,8.2,10.91,15.5
70,14.78,8.2,10.91,15.5
71,14.78,8.2,10.91,15.5
72,14.78,8.19,10.94,15.49
73,14.78,8.19,10.94,15.49
74,14.78,8.19,10.94,15.49
75,14.72,8.22,10.92,15.51
76,14.72,8.22,10.92,15.51
77,14.72,8.22,10.92,15.51
78,14.72,8.22,10.92,15.51
79,14.72,8.22,10.92,15.51
80,14.72,8.22,10.92,15.51
81,14.72,8.22,10.92,15.51
82,14.75,8.2,10.92,15.51
83,14.75,8.2,10.92,15.51
84,14.75,8.2,10.92,15.51
85,14.75,8.2,10.92,15.51
86,14.75,8.2,10.92,15.51
87,14.75,8.2,10.92,15.51
88,14.75,8.2,10.92,15.51
89,14.75,8.2,10.92,15.51
90,14.75,8.2,10.92,15.51
