,A2,A3,A4,A5
0,23.43,2.84,3.5,23.69
1,23.43,2.84,3.5,23.69
2,23.43,2.84,3.5,23.69
3,23.43,2.84,3.5,23.69
4,23.43,2.84,3.5,23.69
5,23.43,2.84,3.5,23.69
6,23.42,2.84,3.47,23.7
7,23.42,2.84,3.47,23.7
8,23.42,2.84,3.47,23.7
9,23.42,2.84,3.47,23.7
10,23.42,2.84,3.47,23.7
11,23.42,2.84,3.47,23.7
12,23.42,2.84,3.47,23.7
13,23.43,2.85,3.48,23.67
14,23.43,2.85,3.48,23.67
15,23.43,2.85,3.48,23.67
16,23.43,2.85,3.48,23.67
17,23.45,2.83,3.46,23.68
18,23.45,2.83,3.46,23.68
19,23.45,2.83,3.46,23.68
20,23.45,2.83,3.46,23.68
21,23.45,2.83,3.46,23.68
22,23.45,2.83,3.46,23.68
23,23.45,2.82,3.49,23.66
24,23.45,2.82,3.49,23.66
25,23.45,2.82,3.49,23.66
26,23.45,2.82,3.49,23.66
27,23.45,2.82,3.49,23.66
28,23.45,2.82,3.49,23.66
29,23.45,2.82,3.5,23.7
30,23.45,2.82,3.5,23.7
31,23.45,2.82,3.5,23.7
32,23.45,2.82,3.5,23.7
33,23.45,2.82,3.5,23.7
34,23.45,2.82,3.5,23.7
35,23.45,2.82,3.5,23.7
36,23.44,2.85,3.46,23.65
37,23.44,2.85,3.46,23.65
38,23.44,2.85,3.46,23.65
39,23.44,2.85,3.46,23.65
40,23.44,2.85,3.46,23.65
41,23.44,2.85,3.46,23.65
42,23.45,2.84,3.5,23.67
43,23.45,2.84,3.5,23.67
44,23.45,2.84,3.5,23.67
45,23.45,2.84,3.5,23.67
46,23.45,2.84,3.5,23.67
47,23.45,2.84,3.5,23.67
48,23.48,2.83,3.48,23.69
49,23.48,2.83,3.48,23.69
50,23.48,2.83,3.48,23.69
51,23.48,2.83,3.48,23.69
52,23.48,2.83,3.48,23.69
53,23.48,2.83,3.48,23.69
54,23.46,2.84,3.48,23.68
55,23.46,2.84,3.48,23.68
56,23.46,2.84,3.48,23.68
57,23.46,2.84,3.48,23.68
58,23.46,2.84,3.48,23.68
59,23.46,2.85,3.48,23.71
60,23.46,2.85,3.48,23.71
61,23.46,2.85,3.48,23.71
62,23.46,2.85,3.48,23.71
63,23.46,2.85,3.48,23.71
64,23.46,2.85,3.48,23.71
65,23.46,2.85,3.48,23.71
66,23.45,2.84,3.48,23.64
67,23.45,2.84,3.48,23.64
68,23.45,2.84,3.48,23.64
69,23.45,2.84,3.48,23.64
70,23.45,2.84,3.48,23.64
71,23.45,2.84,3.48,23.64
72,23.45,2.84,3.48,23.64
73,23.44,2.83,3.5,23.69
74,23.44,2.83,3.5,23.69
75,23.44,2.83,3.5,23.69
76,23.44,2.83,3.5,23.69
77,23.44,2.83,3.5,23.69
78,23.45,2.84,3.48,23.69
79,23.45,2.84,3.48,23.69
80,23.45,2.84,3.48,23.69
81,23.45,2.84,3.48,23.69
82,23.45,2.84,3.48,23.69
83,23.45,2.84,3.48,23.69
84,23.46,2.84,3.5,23.68
85,23.46,2.84,3.5,23.68
86,23.46,2.84,3.5,23.68
87,23.46,2.84,3.5,23.68
88,23.46,2.84,3.5,23.68
89,23.46,2.84,3.5,23.68
90,23.46,2.84,3.5,23.68
91,23.47,2.84,3.48,23.67
92,23.47,2.84,3.48,23.67
93,23.47,2.84,3.48,23.67
94,23.47,2.84,3.48,23.67
95,23.47,2.84,3.48,23.67
96,23.43,2.85,3.5,23.66
97,23.43,2.85,3.5,23.66
98,23.43,2.85,3.5,23.66
99,23.43,2.85,3.5,23.66
100,23.43,2.85,3.5,23.66
101,23.43,2.85,3.5,23.66
102,23.44,2.85,3.48,23.7
103,23.44,2.85,3.48,23.7
104,23.44,2.85,3.48,23.7
105,23.44,2.85,3.48,23.7
106,23.44,2.85,3.48,23.7
107,23.44,2.83,3.49,23.67
108,23.44,2.83,3.49,23.67
109,23.44,2.83,3.49,23.67
110,23.44,2.83,3.49,23.67
111,23.44,2.83,3.49,23.67
112,23.44,2.83,3.49,23.67
113,23.44,2.83,3.49,23.67
114,23.46,2.81,3.48,23.64
115,23.46,2.81,3.48,23.64
116,23.46,2.81,3.48,23.64
117,23.46,2.81,3.48,23.64
118,23.46,2.81,3.48,23.64
119,23.46,2.81,3.48,23.64
120,23.46,2.81,3.48,23.64
121,23.44,2.84,3.48,23.68
122,23.44,2.84,3.48,23.68
123,23.44,2.84,3.48,23.68
124,23.44,2.84,3.48,23.68
125,23.44,2.84,3.48,23.68
126,23.45,2.86,3.49,23.7
127,23.45,2.86,3.49,23.7
128,23.45,2.86,3.49,23.7
129,23.45,2.86,3.49,23.7
130,23.45,2.86,3.49,23.7
131,23.45,2.86,3.49,23.7
132,23.45,2.86,3.49,23.7
133,23.45,2.83,3.48,23.65
134,23.45,2.83,3.48,23.65
135,23.45,2.83,3.48,23.65
136,23.45,2.83,3.48,23.65
137,23.45,2.83,3.48,23.65
138,23.45,2.83,3.48,23.65
